,I,TRADING,VWAFCASPRICES,1,SETTLEMENTDATE,RUNNO,LOWER5MINVWAPRICE,LOWER5MINVOLUME,LOWER5MINREVENUE,LOWER6SECVWAPRICE,LOWER6SECVOLUME,LOWER6SECREVENUE,LOWER60SECVWAPRICE,LOWER60SECVOLUME,LOWER60SECREVENUE,LOWERREGVWAPRICE,LOWERREGVOLUME,LOWERREGREVENUE,RAISE5MINVWAPRICE,RAISE5MINVOLUME,RAISE5MINREVENUE,RAISE6SECVWAPRICE,RAISE6SECVOLUME,RAISE6SECREVENUE,RAISE60SECVWAPRICE,RAISE60SECVOLUME,RAISE60SECREVENUE,RAISEREGVWAPRICE,RAISEREGVOLUME,RAISEREGREVENUE,LASTCHANGED
6,D,TRADING,VWAFCASPRICES,1.0,2021-10-07 21:30:00,1.0,0.46651,111.07167,51.81563,1.07168,182.86833,195.97582,1.28067,223.20167,285.84688,15.3641,130.0,1997.33333,0.77976,241.45417,188.27671,9.10793,363.95,3314.8296,7.06696,378.45,2674.4896,17.57266,135.0,2372.30916,2021/10/08 04:05:10
7,D,TRADING,VWAFCASPRICES,1.0,2021-10-07 05:30:00,1.0,0.34286,112.79,38.67143,0.67561,154.99083,104.71333,2.92037,186.28167,544.01158,7.74667,105.0,813.4,0.75,236.5,177.375,2.0,314.99417,629.98833,2.29,314.99333,721.33473,8.67011,110.0,953.71155,2021/10/08 04:05:10
8,D,TRADING,VWAFCASPRICES,1.0,2021-10-07 06:00:00,1.0,1.03,113.76,117.1728,1.18289,176.025,208.21751,3.70584,214.57833,795.19346,16.4437,121.66667,2000.65,0.75515,237.95,179.68725,3.79287,347.37583,1317.55057,3.55812,356.55583,1268.66981,13.41027,126.66667,1698.6337,2021/10/08 04:05:10
9,D,TRADING,VWAFCASPRICES,1.0,2021-10-07 09:00:00,1.0,1.01661,82.48667,83.85653,9.51952,193.515,1842.16914,8.20328,202.32,1659.68678,30.65423,129.99583,3984.92232,0.14722,145.63083,21.43918,1.51995,274.41583,417.09777,3.20398,294.64583,944.03971,13.67198,135.0,1845.71667,2021/10/08 04:05:10
10,D,TRADING,VWAFCASPRICES,1.0,2021-10-07 11:00:00,1.0,9.6,115.46417,1108.456,9.09091,198.5725,1805.20388,75.021,239.11083,17938.33465,65.28183,130.0,8486.63745,0.07881,143.685,11.32399,1.93986,279.87667,542.92282,3.48759,296.37833,1033.6452,15.13944,135.01,2043.97567,2021/10/08 04:05:10
11,D,TRADING,VWAFCASPRICES,1.0,2021-10-07 15:00:00,1.0,9.52301,114.39833,1089.41655,1.96053,193.79917,379.94912,12.70058,234.65667,2980.27668,21.46228,130.00083,2790.11381,0.91905,243.2525,223.56105,16.80241,379.95667,6384.18859,19.39703,396.4975,7690.87528,14.94198,136.04333,2032.75733,2021/10/08 04:05:10
12,D,TRADING,VWAFCASPRICES,1.0,2021-10-07 23:00:00,1.0,0.59477,112.75417,67.06234,1.16019,187.005,216.96187,1.42094,228.24167,324.31765,12.20211,130.0,1586.27473,0.76125,236.35333,179.92372,2.44285,364.08333,889.40205,4.64598,377.61,1754.36851,12.53395,137.15583,1719.10489,2021/10/08 04:05:10
13,D,TRADING,VWAFCASPRICES,1.0,2021-10-08 00:00:00,1.0,0.60235,112.17667,67.56929,1.17375,189.05167,221.8999,1.6292,229.79833,374.3883,12.1909,130.0,1584.81667,0.75543,241.15667,182.17713,2.60831,372.19583,970.80378,3.54221,388.00333,1374.38976,13.47099,135.0,1818.58333,2021/10/08 04:05:10
14,D,TRADING,VWAFCASPRICES,1.0,2021-10-08 00:30:00,1.0,1.15719,113.8325,131.72611,1.37901,189.20583,260.91609,3.76545,231.0375,869.95909,13.86269,130.0,1802.15,0.75284,239.90333,180.60888,7.42601,369.15417,2741.34131,5.05092,383.27917,1935.91347,22.6037,135.0,3051.5,2021/10/08 04:05:10
15,D,TRADING,VWAFCASPRICES,1.0,2021-10-08 02:30:00,1.0,2.84382,114.37917,325.2738,3.10446,193.52083,600.77735,6.95614,234.58333,1631.79517,14.82228,130.00083,1926.90888,0.75102,238.25667,178.935,5.85813,368.19083,2156.90825,7.82956,380.9925,2983.00289,17.2216,135.0,2324.91667,2021/10/08 04:05:10
